City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
259,Esperance,AU,-33.87,121.9,44.6,100,100,8.05,overcast clouds
260,Rafai,CF,4.95,23.92,70.63,96,94,1.36,light rain
261,Matamoros,MX,25.53,-103.25,95.0,16,40,9.57,scattered clouds
262,Saint-Joseph,RE,-21.37,55.62,68.0,60,19,6.93,few clouds
263,Moerai,PF,-22.43,-151.33,70.65,73,24,24.81,few clouds
264,Wajir,KE,1.75,40.06,77.83,59,100,20.8,overcast clouds
265,Vostok,RU,46.49,135.88,49.17,96,67,3.58,broken clouds
266,Sobolevo,RU,54.43,31.9,52.56,96,56,4.63,broken clouds
267,Terrace Bay,CA,48.78,-87.1,68.0,72,20,5.82,few clouds
268,Daru,PG,-9.08,143.21,74.23,85,4,8.05,clear sky
269,Taltal,CL,-25.4,-70.48,62.33,53,22,4.63,few clouds
270,Saskylakh,RU,71.92,114.08,34.63,91,3,3.83,clear sky
271,Manbij,SY,36.53,37.95,80.6,47,1,12.75,clear sky
272,Lazurne,UA,46.08,32.53,75.99,67,50,16.08,scattered clouds
273,Pitimbu,BR,-7.47,-34.81,78.8,78,75,13.87,broken clouds
274,Cascais,PT,38.7,-9.42,71.01,88,20,16.11,few clouds
275,Le Pradet,FR,43.11,6.02,79.0,94,0,3.36,clear sky
276,Trairi,BR,-3.28,-39.27,78.85,79,1,11.88,clear sky
277,Edd,ER,13.93,41.69,91.24,56,21,6.96,few clouds
278,Johnson City,US,36.31,-82.35,78.8,65,20,2.33,few clouds
279,Pasni,PK,25.26,63.47,82.71,83,97,1.19,overcast clouds
280,Salo,IT,45.61,10.53,82.4,65,0,1.12,clear sky
281,Nizhniy Kuranakh,RU,58.84,125.49,52.09,93,100,3.74,moderate rain
282,Demba,CD,-5.51,22.27,73.98,82,99,3.11,overcast clouds
283,Tabou,CI,4.42,-7.35,75.7,83,99,9.75,overcast clouds
284,Charlestown,AU,-32.95,151.67,51.01,79,6,7.0,clear sky
285,Baft,IR,29.23,56.61,68.83,45,0,2.08,clear sky
286,Merauke,ID,-8.47,140.33,72.55,87,1,10.56,clear sky
287,Lavrentiya,RU,65.58,-171.0,47.89,93,100,7.27,overcast clouds
288,Cururupu,BR,-1.83,-44.87,78.98,79,5,4.83,clear sky
289,Cochrane,CA,51.18,-114.47,75.99,47,20,12.75,few clouds
290,Kushiro,JP,42.98,144.37,60.64,83,99,2.95,overcast clouds
